,title,min_salary,max_salary,currency,href,site
126,Junior Dealer,170000,250000,руб.,https://saratov.hh.ru/vacancy/51848133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
127,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901534?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
128,Junior/Middle Data Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52260814?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
129,Программист Python (Junior/Middle),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51556582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
130,Аналитик Data science (junior),40000,60000,руб.,https://saratov.hh.ru/vacancy/51653154?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
131,Junior/Middle Python Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/44790039?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
132,Junior Autotest Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50952525?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
133,Junior Data Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49000643?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
134,Junior data analyst,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51652486?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
135,Junior Data Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51652225?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
136,Вирусный aналитик-стажер в группу анализа мобильных угроз / Junior Mobile Threats Analyst,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/45533939?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
137,Разработчик FPGA (ПЛИС) Junior,90000,120000,руб.,https://saratov.hh.ru/vacancy/52032349?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
138,Junior data analyst,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51652485?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
139,Junior разработчик веб,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51656255?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
140,C++ Junior разработчик,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51803579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
141,DevOps Junior Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49354601?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
142,DevOps Junior Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49354859?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
143,Junior DevOps / Cистемный администратор Linux,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51712346?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
144,Junior Software Developer (C++),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52041204?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
145,DevOps School Trainee,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52050465?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
146,DevOps Junior Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49354600?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
147,Инженер по нагрузочному тестированию (Junior),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50581782?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
